jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|cpu:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=cpu,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=cpu, 
1268,  13505,  completed,  eof,  2018-10-02 22:19:32,  2018-10-02 22:19:42,  10,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|cpu:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  1499,  11,  14,  3,  0.05005,  272,  0.05015,  0.714069076303,  10.4472331904, 
1268,  13516,  completed,  eof,  2018-10-02 22:19:32,  2018-10-02 22:19:40,  8,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_22.modelParams|spParams|synPermInactiveDec_0.1,  1499,  9,  12,  1,  0.0001,  22,  0.1,  3.75360903246,  54.9174164924, 
1268,  13517,  completed,  eof,  2018-10-02 22:19:40,  2018-10-02 22:19:51,  11,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|cpu:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1499,  12,  16,  5,  0.1,  521,  0.0003,  0.783603385636,  11.4645593405, 
1268,  13518,  completed,  eof,  2018-10-02 22:19:42,  2018-10-02 22:19:50,  8,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|cpu:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  1499,  10,  13,  2,  0.025075,  147,  0.075075,  0.870680945593,  12.7385531385, 
1268,  13519,  completed,  eof,  2018-10-02 22:19:50,  2018-10-02 22:19:59,  9,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|cpu:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  1499,  11,  15,  4,  0.075025,  396,  0.025225,  0.726099996134,  10.6232523308, 
1268,  13520,  completed,  eof,  2018-10-02 22:19:51,  2018-10-02 22:20:00,  9,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.055045.modelParams|sensorParams|encoders|cpu:n_296.modelParams|spParams|synPermInactiveDec_0.055135,  1499,  11,  14,  3,  0.055045,  296,  0.055135,  0.698669622744,  10.2219305024, 
1268,  13521,  completed,  eof,  2018-10-02 22:19:59,  2018-10-02 22:20:08,  9,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0368020378759.modelParams|sensorParams|encoders|cpu:n_250.modelParams|spParams|synPermInactiveDec_0.0550282155552,  1499,  10,  14,  3,  0.0368020378759,  250,  0.0550282155552,  0.719587838206,  10.5279757886, 
1268,  13522,  completed,  eof,  2018-10-02 22:20:00,  2018-10-02 22:20:09,  9,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0674676659117.modelParams|sensorParams|encoders|cpu:n_363.modelParams|spParams|synPermInactiveDec_0.0602374628893,  1499,  11,  14,  3,  0.0674676659117,  363,  0.0602374628893,  0.705672563889,  10.3243874797, 
1268,  13523,  completed,  eof,  2018-10-02 22:20:08,  2018-10-02 22:20:17,  9,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0450982227256.modelParams|sensorParams|encoders|cpu:n_243.modelParams|spParams|synPermInactiveDec_0.0501072862221,  1499,  11,  14,  3,  0.0450982227256,  243,  0.0501072862221,  0.74435430977,  10.8903232313, 
1268,  13524,  completed,  eof,  2018-10-02 22:20:09,  2018-10-02 22:20:18,  9,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0633411848496.modelParams|sensorParams|encoders|cpu:n_290.modelParams|spParams|synPermInactiveDec_0.0601840706669,  1499,  10,  14,  3,  0.0633411848496,  290,  0.0601840706669,  0.75462538638,  11.0405948731, 
1268,  13525,  completed,  eof,  2018-10-02 22:20:17,  2018-10-02 22:20:26,  9,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05629375.modelParams|sensorParams|encoders|cpu:n_303.modelParams|spParams|synPermInactiveDec_0.05638125,  1499,  11,  14,  3,  0.05629375,  303,  0.05638125,  0.720339679538,  10.5389756512, 
1268,  13526,  completed,  eof,  2018-10-02 22:20:18,  2018-10-02 22:20:27,  9,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0612063257765.modelParams|sensorParams|encoders|cpu:n_344.modelParams|spParams|synPermInactiveDec_0.0438922826334,  1499,  12,  14,  3,  0.0612063257765,  344,  0.0438922826334,  0.707556894988,  10.3519563061, 
