jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|disk:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=disk,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=disk, 
1014,  2463,  completed,  eof,  2018-12-22 03:41:20,  2018-12-22 03:41:58,  38,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|disk:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  14,  3,  0.05005,  272,  0.05015,  0.0346541330814,  5.60863657609e-10, 
1014,  2464,  completed,  eof,  2018-12-22 03:41:20,  2018-12-22 03:41:55,  35,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_22.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  12,  1,  0.0001,  22,  0.1,  0.0346541330814,  5.60863657609e-10, 
1014,  2465,  completed,  eof,  2018-12-22 03:41:55,  2018-12-22 03:42:38,  43,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|disk:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  2500,  12,  16,  5,  0.1,  521,  0.0003,  0.0346541330814,  5.60863657609e-10, 
1014,  2466,  completed,  eof,  2018-12-22 03:41:58,  2018-12-22 03:42:34,  36,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|disk:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  2500,  10,  13,  2,  0.025075,  147,  0.075075,  0.0346541330814,  5.60863657609e-10, 
1014,  2467,  completed,  eof,  2018-12-22 03:42:34,  2018-12-22 03:43:11,  37,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|disk:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  2500,  11,  15,  4,  0.075025,  396,  0.025225,  0.0346541330814,  5.60863657609e-10, 
1014,  2468,  completed,  eof,  2018-12-22 03:42:39,  2018-12-22 03:43:11,  32,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0133479621241.modelParams|sensorParams|encoders|disk:n_93.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  12,  1,  0.0133479621241,  93,  0.1,  0.0346541330814,  5.60863657609e-10, 
1014,  2469,  completed,  eof,  2018-12-22 03:43:11,  2018-12-22 03:43:39,  28,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_47.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  12,  1,  0.0001,  47,  0.1,  0.0346541330814,  5.60863657609e-10, 
1014,  2470,  completed,  eof,  2018-12-22 03:43:11,  2018-12-22 03:43:45,  34,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0632979621241.modelParams|sensorParams|encoders|disk:n_344.modelParams|spParams|synPermInactiveDec_0.0552417844448,  2500,  11,  14,  3,  0.0632979621241,  344,  0.0552417844448,  0.0346541330814,  5.60863657609e-10, 
1014,  2471,  completed,  eof,  2018-12-22 03:43:39,  2018-12-22 03:44:26,  47,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_22.modelParams|spParams|synPermInactiveDec_0.0950683922224,  2500,  9,  12,  1,  0.0001,  22,  0.0950683922224,  0.0346541330814,  5.60863657609e-10, 
1014,  2472,  completed,  eof,  2018-12-22 03:43:45,  2018-12-22 03:44:38,  53,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.059171481062.modelParams|sensorParams|encoders|disk:n_271.modelParams|spParams|synPermInactiveDec_0.0551883922224,  2500,  10,  14,  3,  0.059171481062,  271,  0.0551883922224,  0.0346541330814,  5.60863657609e-10, 
1014,  2473,  completed,  killed,  2018-12-22 03:44:26,  2018-12-22 03:44:38,  12,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00372826641491.modelParams|sensorParams|encoders|disk:n_35.modelParams|spParams|synPermInactiveDec_0.1,  600,  9,  12,  1,  0.00372826641491,  35,  0.1,  0.0350200759748,  2.26601164028e-09, 
