jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|mem:n,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=mem,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=mem, 
1011,  2355,  completed,  eof,  2018-12-22 03:37:50,  2018-12-22 03:37:54,  4,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|sensorParams|encoders|mem:n_272.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015,  90,  11,  14,  272,  3,  0.05005,  0.05015,  0.0302887533344,  0.0519639720914, 
1011,  2366,  completed,  eof,  2018-12-22 03:37:50,  2018-12-22 03:37:54,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_22.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  90,  9,  12,  22,  1,  0.0001,  0.1,  0.0538803698601,  0.092438206511, 
1011,  2367,  completed,  eof,  2018-12-22 03:37:54,  2018-12-22 03:37:56,  2,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|sensorParams|encoders|mem:n_521.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003,  90,  12,  16,  521,  5,  0.1,  0.0003,  0.0304932891837,  0.0523148777575, 
1011,  2368,  completed,  eof,  2018-12-22 03:37:54,  2018-12-22 03:37:56,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|mem:n_147.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|spParams|synPermInactiveDec_0.075075,  90,  10,  13,  147,  2,  0.025075,  0.075075,  0.0269272540583,  0.0461969188013, 
1011,  2369,  completed,  eof,  2018-12-22 03:37:56,  2018-12-22 03:37:58,  2,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|sensorParams|encoders|mem:n_396.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|spParams|synPermInactiveDec_0.025225,  90,  11,  15,  396,  4,  0.075025,  0.025225,  0.0313213518888,  0.0537355181788, 
1011,  2370,  completed,  eof,  2018-12-22 03:37:57,  2018-12-22 03:37:59,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|mem:n_163.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0347673257778.modelParams|spParams|synPermInactiveDec_0.0801133922224,  90,  10,  13,  163,  2,  0.0347673257778,  0.0801133922224,  0.0271115841517,  0.0465131590811, 
1011,  2371,  completed,  eof,  2018-12-22 03:37:58,  2018-12-22 03:38:01,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|mem:n_131.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0153826742222.modelParams|spParams|synPermInactiveDec_0.0800066077776,  90,  10,  13,  131,  2,  0.0153826742222,  0.0800066077776,  0.0244394002241,  0.0419287085591, 
1011,  2372,  completed,  eof,  2018-12-22 03:37:59,  2018-12-22 03:38:02,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|mem:n_96.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0441619773334.modelParams|spParams|synPermInactiveDec_0.0802201766672,  90,  10,  13,  96,  3,  0.0441619773334,  0.0802201766672,  0.0299272617342,  0.0513437900979, 
1011,  2373,  completed,  eof,  2018-12-22 03:38:01,  2018-12-22 03:38:03,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|mem:n_155.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0122106176345.modelParams|spParams|synPermInactiveDec_0.0750321718498,  90,  10,  13,  155,  2,  0.0122106176345,  0.0750321718498,  0.0242937607366,  0.0416788466324, 
1011,  2374,  completed,  eof,  2018-12-22 03:38:02,  2018-12-22 03:38:03,  1,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|mem:n_88.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0315952691901.modelParams|spParams|synPermInactiveDec_0.0751389562946,  90,  10,  13,  88,  3,  0.0315952691901,  0.0751389562946,  0.029310225044,  0.0502851899966, 
